PARAM
5,1000,2,3390
VEHICLES
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
700,2
DEMANDS
0,40,50,0,3390,1,1,0,0
1,52,75,302,479,1,1,10,90
2,45,70,157,428,1,1,30,90
3,62,69,1138,1355,1,1,10,90
4,60,66,1247,1434,1,1,10,90
5,42,65,15,208,1,1,10,90
6,16,42,209,944,1,1,20,90
7,58,70,1059,1246,1,1,20,90
8,34,60,2035,3288,1,1,20,90
9,28,70,2090,3271,1,1,10,90
10,35,66,2311,3283,1,1,10,90
11,35,69,2428,3127,1,1,10,90
12,25,85,1772,2625,1,1,20,90
13,22,75,2135,2834,1,1,30,90
14,22,85,1586,2625,1,1,10,90
15,20,80,1858,2733,1,1,40,90
16,20,85,1512,2515,1,1,40,90
17,18,75,1895,2886,1,1,20,90
18,15,75,1299,2344,1,1,20,90
19,15,80,1461,2372,1,1,10,90
20,30,50,10,963,1,1,10,90
21,30,56,2062,3288,1,1,20,90
22,28,52,12,752,1,1,20,90
23,14,66,1316,2129,1,1,10,90
24,25,50,15,532,1,1,10,90
25,22,66,2177,2990,1,1,40,90
26,8,62,1036,2213,1,1,10,90
27,23,52,17,602,1,1,10,90
28,4,55,1010,2043,1,1,20,90
29,20,50,20,948,1,1,10,90
30,20,55,63,702,1,1,10,90
31,10,35,309,1412,1,1,20,90
32,10,40,336,1009,1,1,30,90
33,8,40,234,1295,1,1,40,90
34,8,45,954,1897,1,1,20,90
35,5,35,377,1534,1,1,10,90
36,5,45,819,1846,1,1,10,90
37,2,40,494,1607,1,1,20,90
38,0,40,637,1648,1,1,30,90
39,0,45,834,1641,1,1,20,90
40,36,18,1468,2329,1,1,10,90
41,35,32,2480,3195,1,1,10,90
42,33,32,2421,3070,1,1,20,90
43,33,35,2368,2937,1,1,10,90
44,32,20,1621,2364,1,1,10,90
45,30,30,1805,2564,1,1,10,90
46,34,25,1782,2395,1,1,30,90
47,30,35,2242,2877,1,1,10,90
48,36,40,2605,3266,1,1,10,90
49,48,20,812,1281,1,1,10,90
50,26,32,1842,2901,1,1,10,90
51,25,30,1883,2676,1,1,10,90
52,25,35,2070,2859,1,1,10,90
53,44,5,1078,1593,1,1,20,90
54,42,10,998,1481,1,1,40,90
55,42,15,897,1392,1,1,10,90
56,40,5,1083,1776,1,1,30,90
57,38,15,1426,2183,1,1,40,90
58,38,5,1133,1910,1,1,30,90
59,38,10,1392,2027,1,1,10,90
60,35,5,1180,2049,1,1,20,90
61,50,30,223,738,1,1,10,90
62,50,35,18,474,1,1,20,90
63,50,40,14,360,1,1,50,90
64,48,30,246,899,1,1,10,90
65,44,25,704,1197,1,1,10,90
66,47,35,393,942,1,1,10,90
67,47,40,12,424,1,1,10,90
68,42,30,641,1070,1,1,10,90
69,45,35,534,985,1,1,10,90
70,95,30,2119,2682,1,1,30,90
71,95,35,2192,2419,1,1,20,90
72,53,30,131,644,1,1,10,90
73,92,30,2169,2818,1,1,10,90
74,53,35,87,498,1,1,50,90
75,45,65,49,346,1,1,20,90
76,90,35,2106,2315,1,1,10,90
77,72,45,2701,3258,1,1,10,90
78,78,40,2599,3164,1,1,20,90
79,87,30,2505,2870,1,1,10,90
80,85,25,2369,2816,1,1,10,90
81,85,35,2563,3002,1,1,30,90
82,75,55,1894,2115,1,1,20,90
83,72,55,1751,2072,1,1,10,90
84,70,58,1617,1824,1,1,20,90
85,86,46,1969,2248,1,1,30,90
86,66,55,1710,1921,1,1,10,90
87,64,46,2976,3275,1,1,20,90
88,65,60,1482,1769,1,1,30,90
89,56,64,1275,1594,1,1,10,90
90,60,55,2789,3279,1,1,10,90
91,60,60,1440,1621,1,1,10,90
92,67,85,646,901,1,1,20,90
93,42,58,8,258,1,1,40,90
94,65,82,708,1027,1,1,10,90
95,62,80,852,1069,1,1,30,90
96,62,40,2713,3275,1,1,10,90
97,60,85,537,816,1,1,30,90
98,58,75,948,1167,1,1,20,90
99,55,80,379,594,1,1,10,90
100,55,85,477,686,1,1,20,90
